,"CR/LFINF+DNO/HBET:1,3","CR/LFINF+DNO/HBET:4,7","CR/LFINF+DNO/HBET:8,20","CR/LFM/HBET:1,3","CR/LFM/HBET:4,7","CR/LFM/HBET:8,20",MATO/LN,"MUR+ADO/HBET:1,3","MUR+CB99/HBET:1,3","MUR+CB99/HBET:4,7",MUR+CL99,MUR+STRUB,S,W,W+WWD
0.05,4.60E-05,0.000479,0.000888,4.60E-05,0.000479,0.000888,3.80E-05,0.000677,4.50E-05,0.000206,0.000187,0.00013,0,0.000188,3.00E-06
0.052179,5.90E-05,0.00056,0.001006,5.90E-05,0.00056,0.001006,4.90E-05,0.000814,5.80E-05,0.000247,0.000232,0.000164,0,0.000232,4.00E-06
0.054454,7.70E-05,0.000651,0.001138,7.70E-05,0.000651,0.001138,6.40E-05,0.000974,7.40E-05,0.000296,0.000288,0.000206,0,0.000286,7.00E-06
0.056827,9.90E-05,0.000756,0.001285,9.90E-05,0.000756,0.001285,8.20E-05,0.001162,9.50E-05,0.000353,0.000355,0.000258,0,0.000351,9.00E-06
0.059304,0.000127,0.000875,0.001449,0.000127,0.000875,0.001449,0.000105,0.00138,0.000122,0.00042,0.000436,0.000321,1.00E-06,0.000429,1.40E-05
0.061889,0.000162,0.001011,0.001631,0.000162,0.001011,0.001631,0.000134,0.001634,0.000154,0.000498,0.000534,0.000397,1.00E-06,0.000522,1.90E-05
0.064587,0.000205,0.001164,0.001832,0.000205,0.001164,0.001832,0.000171,0.001927,0.000195,0.000589,0.00065,0.00049,1.00E-06,0.000634,2.70E-05
0.067402,0.000258,0.001337,0.002054,0.000258,0.001337,0.002054,0.000215,0.002265,0.000244,0.000695,0.000788,0.000601,1.00E-06,0.000768,3.80E-05
0.07034,0.000323,0.001531,0.002299,0.000323,0.001531,0.002299,0.000271,0.002653,0.000305,0.000818,0.000951,0.000735,2.00E-06,0.000928,5.20E-05
0.073406,0.000402,0.00175,0.00257,0.000402,0.00175,0.00257,0.000339,0.003097,0.00038,0.000961,0.001144,0.000895,2.00E-06,0.001116,7.10E-05
0.076605,0.000497,0.001994,0.002868,0.000497,0.001994,0.002868,0.000422,0.003603,0.00047,0.001125,0.001371,0.001085,3.00E-06,0.00134,9.70E-05
0.079944,0.000612,0.002267,0.003195,0.000612,0.002267,0.003195,0.000523,0.004179,0.000578,0.001314,0.001635,0.001311,4.00E-06,0.001603,0.000131
0.083429,0.000749,0.002571,0.003554,0.000749,0.002571,0.003554,0.000645,0.004831,0.000708,0.00153,0.001943,0.001576,6.00E-06,0.001912,0.000175
0.087065,0.000913,0.00291,0.003947,0.000913,0.00291,0.003947,0.000792,0.005569,0.000864,0.001779,0.002301,0.001889,7.00E-06,0.002274,0.000232
0.09086,0.001105,0.003285,0.004378,0.001105,0.003285,0.004378,0.000968,0.006401,0.001048,0.002062,0.002714,0.002254,9.00E-06,0.002698,0.000306
